time,angle
1.236533,1.323035
1.236600,1.324236
1.236667,1.325265
1.236733,1.326123
1.236800,1.327324
1.236867,1.328354
1.236933,1.329383
1.237000,1.330413
1.237067,1.331614
1.237133,1.332472
1.237200,1.333501
1.237267,1.334702
1.237333,1.335732
1.237400,1.336761
1.237467,1.337791
1.237533,1.338820
1.237600,1.340021
1.237667,1.341051
1.237733,1.342080
1.237800,1.343109
1.237867,1.344139
1.237933,1.345168
1.238000,1.346369
1.238067,1.347399
1.238133,1.348600
1.238200,1.349629
1.238267,1.350487
1.238333,1.351688
1.238400,1.352718
1.238467,1.353747
1.238533,1.354948
1.238600,1.355978
1.238667,1.357179
1.238733,1.358208
1.238800,1.359409
1.238867,1.360267
1.238933,1.361468
1.239000,1.362498
1.239067,1.363527
1.239133,1.364557
1.239200,1.365586
1.239267,1.366616
1.239333,1.367817
1.239400,1.368846
1.239467,1.369876
1.239533,1.371077
1.239600,1.372106
1.239667,1.373136
1.239733,1.374508
1.239800,1.375366
1.239867,1.376395
1.239933,1.377425
1.240000,1.378626
1.240067,1.379655
1.240133,1.380685
1.240200,1.381886
1.240267,1.382915
1.240333,1.384116
1.240400,1.385146
1.240467,1.386004
1.240533,1.387376
1.240600,1.388406
1.240667,1.389435
1.240733,1.390465
1.240800,1.391666
1.240867,1.392695
1.240933,1.393725
1.241000,1.394926
1.241067,1.395955
1.241133,1.396985
1.241200,1.398014
1.241267,1.399215
1.241333,1.400245
1.241400,1.401274
1.241467,1.402475
1.241533,1.403505
1.241600,1.404534
1.241667,1.405735
1.241733,1.406765
1.241800,1.407966
1.241867,1.408995
1.241933,1.410025
1.242000,1.411054
1.242067,1.412255
1.242133,1.413456
1.242200,1.414486
1.242267,1.415515
1.242333,1.416716
1.242400,1.417746
1.242467,1.418775
1.242533,1.419976
1.242600,1.421006
1.242667,1.422035
1.242733,1.423236
1.242800,1.424437
1.242867,1.425467
1.242933,1.426496
1.243000,1.427869
1.243067,1.428898
1.243133,1.429928
1.243200,1.431129
1.243267,1.432158
1.243333,1.433359
1.243400,1.434389
1.243467,1.435418
1.243533,1.436619
1.243600,1.437649
1.243667,1.438678
1.243733,1.439879
1.243800,1.440909
1.243867,1.441938
1.243933,1.443139
1.244000,1.444169
1.244067,1.445370
1.244133,1.446399
1.244200,1.447429
1.244267,1.448630
1.244333,1.449831
1.244400,1.450860
1.244467,1.451890
1.244533,1.453091
1.244600,1.454120
1.244667,1.455150
1.244733,1.456351
1.244800,1.457380
1.244867,1.458753
1.244933,1.459611
1.245000,1.460812
1.245067,1.461841
1.245133,1.462871
1.245200,1.464072
1.245267,1.465273
1.245333,1.466302
1.245400,1.467503
1.245467,1.468533
1.245533,1.469734
1.245600,1.470763
1.245667,1.471793
1.245733,1.472994
1.245800,1.474023
1.245867,1.475224
1.245933,1.476425
1.246000,1.477455
1.246067,1.478484
1.246133,1.479685
1.246200,1.480715
1.246267,1.481916
1.246333,1.482945
1.246400,1.484146
1.246467,1.485176
1.246533,1.486205
1.246600,1.487406
1.246667,1.488607
1.246733,1.489637
1.246800,1.490838
1.246867,1.491867
1.246933,1.493068
1.247000,1.494098
1.247067,1.495299
1.247133,1.496328
1.247200,1.497358
1.247267,1.498387
1.247333,1.499588
1.247400,1.500789
1.247467,1.501819
1.247533,1.502848
1.247600,1.504049
1.247667,1.505079
1.247733,1.506280
1.247800,1.507481
1.247867,1.508510
1.247933,1.509711
1.248000,1.510741
1.248067,1.511942
1.248133,1.512971
1.248200,1.514172
1.248267,1.515202
1.248333,1.516403
1.248400,1.517604
1.248467,1.518633
1.248533,1.519663
1.248600,1.520692
1.248667,1.521893
1.248733,1.523094
1.248800,1.524124
1.248867,1.525325
1.248933,1.526526
1.249000,1.527555
1.249067,1.528756
1.249133,1.529957
1.249200,1.530987
1.249267,1.532188
1.249333,1.533217
1.249400,1.534247
1.249467,1.535448
1.249533,1.536477
1.249600,1.537678
1.249667,1.538879
1.249733,1.539909
1.249800,1.541110
1.249867,1.542139
1.249933,1.543341
1.250000,1.544542
1.250067,1.545571
1.250133,1.546772
1.250200,1.547973
1.250267,1.549003
1.250333,1.550032
1.250400,1.551233
